Summary,Issue Type,Description,Priority,Labels,Epic Name,Story Points
"Project Setup and Configuration","Epic","Set up the base project structure, dependencies, configuration files, and development workflow for the AI Resume Intelligence Dashboard.","High","setup,scm,nextjs","Project Setup and Configuration",
"Frontend Dashboard UI","Epic","Build the modern SaaS-style frontend interface using Next.js, React, Tailwind CSS, and reusable UI components.","High","frontend,tailwind,dashboard","Frontend Dashboard UI",
"Authentication and User Flow","Epic","Implement user signup, login, logout, and authenticated navigation flow.","High","auth,user-flow","Authentication and User Flow",
"Resume Input and Upload","Epic","Allow users to paste resume text or upload a text-based PDF resume for analysis.","High","resume,input,upload","Resume Input and Upload",
"Resume Analysis Engine","Epic","Implement lightweight rule-based resume analysis for ATS score, skills, missing skills, strengths, weaknesses, and recommendations.","High","analysis,ats,skills","Resume Analysis Engine",
"Database and Persistence","Epic","Store users, resumes, and analysis reports using Prisma ORM and PostgreSQL or Neon database.","High","database,prisma,postgresql","Database and Persistence",
"Analytics and History","Epic","Display score cards, charts, detected skills, recommendations, and previous analysis history on the dashboard.","Medium","analytics,charts,history","Analytics and History",
"Testing and Demo Readiness","Epic","Verify core flows, fix demo blockers, prepare project for college presentation and SCM review.","Medium","testing,demo,documentation","Testing and Demo Readiness",
"Initialize Next.js project with TypeScript","Task","Create the base Next.js App Router project with TypeScript configuration and required folder structure.","High","setup,nextjs,typescript","Project Setup and Configuration",3
"Install and configure frontend dependencies","Task","Install Tailwind CSS, Lucide icons, Recharts, and required frontend dependencies.","High","setup,frontend,dependencies","Project Setup and Configuration",2
"Create reusable project folder structure","Task","Organize app, components, lib, prisma, and types folders according to the project architecture.","Medium","architecture,scm,structure","Project Setup and Configuration",2
"Configure environment variable template","Task","Create .env.example for DATABASE_URL, AUTH_SECRET, and local development configuration.","High","config,env,security","Project Setup and Configuration",2
"Add README setup documentation","Task","Document project overview, installation steps, database setup, and run commands.","Medium","documentation,scm","Project Setup and Configuration",2
"Build landing page UI","Story","As a visitor, I want to see a professional landing page so that I understand the purpose of the resume dashboard.","High","frontend,landing,ui","Frontend Dashboard UI",3
"Design reusable UI components","Task","Create reusable Button, Card, Input, Textarea, Badge, Label, and Progress components for consistent UI.","High","frontend,components,ui","Frontend Dashboard UI",5
"Build responsive navigation header","Story","As a user, I want a navigation header so that I can move between landing, dashboard, profile, login, and logout actions.","High","frontend,navigation,ui","Frontend Dashboard UI",3
"Apply global dark theme styling","Task","Create global CSS for dark theme, glassmorphism cards, typography, background, and responsive layout behavior.","Medium","frontend,tailwind,theme","Frontend Dashboard UI",3
"Create dashboard page layout","Story","As a logged-in user, I want a dashboard layout so that I can submit my resume and view analysis results in one place.","High","frontend,dashboard,layout","Frontend Dashboard UI",5
"Build signup form UI","Story","As a new user, I want to create an account using name, email, and password so that my resume reports can be saved.","High","frontend,auth,signup","Authentication and User Flow",3
"Build login form UI","Story","As an existing user, I want to log in with email and password so that I can access my dashboard.","High","frontend,auth,login","Authentication and User Flow",3
"Show authentication loading and error states","Task","Display loading spinner and readable error messages during login and signup actions.","Medium","frontend,auth,ux","Authentication and User Flow",2
"Add logout action in header","Story","As a logged-in user, I want to log out from the navigation bar so that I can end my session safely.","Medium","frontend,auth,logout","Authentication and User Flow",2
"Redirect unauthenticated users from protected pages","Task","Ensure dashboard and profile pages redirect unauthenticated users to the login page.","High","auth,routing,security","Authentication and User Flow",3
"Create resume text input area","Story","As a user, I want to paste my resume text so that I can analyze it without uploading a file.","High","frontend,resume,input","Resume Input and Upload",3
"Create resume PDF upload UI","Story","As a user, I want to upload a text-based PDF resume so that the system can extract and analyze the resume content.","Medium","frontend,resume,pdf","Resume Input and Upload",3
"Add sample resume button","Task","Add a button that fills the resume textarea with sample resume content for quick demo testing.","Low","frontend,demo,ux","Resume Input and Upload",1
"Handle resume submit loading state","Task","Disable the Generate Analysis button and show a spinner while the resume is being analyzed.","Medium","frontend,ux,loading","Resume Input and Upload",2
"Show resume upload/input errors","Task","Display user-friendly error messages for short text, invalid PDF, or failed analysis requests.","High","frontend,error-handling,resume","Resume Input and Upload",2
"Define skill categories","Task","Create frontend, backend, devops, programming, AI, and tools skill categories for the rule-based analyzer.","High","analysis,skills,rules","Resume Analysis Engine",3
"Implement skill detection logic","Story","As a user, I want the system to detect skills from my resume so that I can understand what technologies are visible.","High","analysis,skills,ats","Resume Analysis Engine",5
"Implement missing skills logic","Story","As a user, I want to see missing industry skills so that I know what to improve in my resume.","High","analysis,recommendations,skills","Resume Analysis Engine",3
"Implement ATS score calculation","Story","As a user, I want an ATS-style score so that I can estimate how strong my resume appears.","High","analysis,ats,scoring","Resume Analysis Engine",5
"Generate strengths and weaknesses","Story","As a user, I want strengths and weaknesses so that I can understand my resume quality clearly.","Medium","analysis,feedback,recommendations","Resume Analysis Engine",3
"Generate resume recommendations","Story","As a user, I want actionable recommendations so that I can improve my resume before applying.","High","analysis,recommendations,feedback","Resume Analysis Engine",3
"Create Prisma schema models","Task","Define User, Resume, and AnalysisReport models with relationships in Prisma schema.","High","database,prisma,schema","Database and Persistence",5
"Configure PostgreSQL or Neon database connection","Task","Connect the application to PostgreSQL locally or Neon using DATABASE_URL environment variable.","High","database,postgresql,neon","Database and Persistence",3
"Create Prisma client utility","Task","Create a reusable Prisma client singleton for database access across API routes.","High","database,prisma,backend","Database and Persistence",2
"Save resume text to database","Story","As a user, I want submitted resumes to be saved so that I can view them later.","High","database,resume,persistence","Database and Persistence",3
"Save analysis report to database","Story","As a user, I want generated analysis reports to be saved so that my dashboard history is persistent.","High","database,analysis,persistence","Database and Persistence",5
"Display score cards on dashboard","Story","As a user, I want to see ATS, frontend, backend, and industry readiness scores as cards so that I can quickly understand my resume performance.","High","frontend,dashboard,scores","Analytics and History",3
"Render skill distribution chart","Story","As a user, I want to see skill distribution by category so that I understand my technical profile visually.","Medium","frontend,charts,recharts","Analytics and History",3
"Render score breakdown chart","Story","As a user, I want to compare all resume scores visually so that I can identify strong and weak areas.","Medium","frontend,charts,recharts","Analytics and History",3
"Display strengths, weaknesses, and recommendations","Story","As a user, I want structured feedback sections so that I can easily act on the resume analysis.","High","frontend,recommendations,dashboard","Analytics and History",3
"Display detected and missing skills as badges","Story","As a user, I want detected and missing skills shown as badges so that the result is easy to scan.","Medium","frontend,skills,badges","Analytics and History",2
"Display analysis history","Story","As a user, I want to view previous analysis reports so that I can compare or revisit older resume submissions.","Medium","frontend,history,dashboard","Analytics and History",5
"Build profile page UI","Story","As a user, I want a profile page showing my account details and uploaded resumes so that I can review my activity.","Medium","frontend,profile,history","Analytics and History",3
"Run production build verification","Task","Run the Next.js production build to verify the application compiles successfully.","High","testing,build,scm","Testing and Demo Readiness",2
"Test signup login logout flow","Task","Verify user signup, login, protected dashboard access, and logout behavior before demo.","High","testing,auth,demo","Testing and Demo Readiness",3
"Test resume text analysis flow","Task","Verify that pasted resume text generates scores, skills, recommendations, and saved history.","High","testing,resume,analysis","Testing and Demo Readiness",3
"Test PDF upload limitation handling","Task","Verify that text-based PDFs work and scanned PDFs show a helpful fallback message.","Medium","testing,pdf,error-handling","Testing and Demo Readiness",2
"Prepare viva/demo script","Task","Prepare a short explanation of project intro, problem statement, frontend build, and dashboard flow.","Medium","documentation,demo,viva","Testing and Demo Readiness",2
"Review UI responsiveness","Task","Check landing page, auth pages, dashboard, charts, and profile page on desktop and smaller screen sizes.","Medium","testing,responsive,frontend","Testing and Demo Readiness",2
